2 Academy Ruins
1 Ancient Den
3 Hallowed Fountain
6 Island
1 Plains
1 Scalding Tarn
1 Seat of the Synod
2 Chrome Mox
2 Engineered Explosives
2 Muddle the Mixture
3 Path to Exile
4 Spell Snare
1 Sword of the Meek
2 Tezzeret the Seeker
4 Thirst for Knowledge
2 Thopter Foundry
2 Wrath of God
4 Arid Mesa
1 Ghost Quarter
1 Mystic Gate
1 Steam Vents
1 Tolaria West
3 Trinket Mage
1 Venser, Shaper Savant
1 Aether Spellbomb
1 Chalice of the Void
2 Cryptic Command
2 Day of Judgment
1 Pithing Needle
1 Tormod's Crypt
1 Vedalken Shackles
