1 Academy Ruins
3 Hallowed Fountain
3 Island
4 Scalding Tarn
2 Chrome Mox
2 Engineered Explosives
4 Mana Leak
1 Muddle the Mixture
3 Path to Exile
3 Spell Snare
1 Sword of the Meek
4 Thirst for Knowledge
1 Thopter Foundry
1 Breeding Pool
2 Misty Rainforest
1 Bant Charm
1 Firespout
3 Grove of the Burnwillows
1 Sacred Foundry
3 Punishing Fire
1 Steam Vents
1 Tolaria West
1 Chalice of the Void
2 Cryptic Command
1 Tormod's Crypt
2 Vedalken Shackles
1 Watery Grave
1 Life from the Loam
1 Snow-Covered Island
3 Gifts Ungiven
1 Rugged Prairie
1 Spell Burst
