1 Academy Ruins
1 Hallowed Fountain
1 Island
1 Plains
4 Chrome Mox
1 Engineered Explosives
1 Muddle the Mixture
1 Path to Exile
1 Sword of the Meek
4 Thirst for Knowledge
3 Thopter Foundry
1 Wrath of God
1 Temple Garden
2 Arid Mesa
1 Ghost Quarter
4 Grove of the Burnwillows
1 Sacred Foundry
3 Punishing Fire
2 Mystic Gate
1 Steam Vents
2 Tolaria West
1 Chalice of the Void
1 Cryptic Command
1 Day of Judgment
1 Tormod's Crypt
1 Life from the Loam
1 Repeal
1 Snow-Covered Island
1 Snow-Covered Plains
4 Gifts Ungiven
1 Oblivion Ring
1 Vesuva
1 Runed Halo
2 Cascade Bluffs
1 Rugged Prairie
1 Condemn
1 Hallowed Burial
1 Negate
1 Pulse of the Fields
1 Temporal Isolation
